Unnamed: 0,Name,Weight Class,Height:,Weight:,Reach:,Age,Wins,Losses,Draws
1639,rani yahya,Bantamweight,5.5,135,67,35,26,10,0
1640,alexander yakovlev,Lightweight,6.25,155,74,35,24,8,1
1641,norifumi yamamoto,Bantamweight,5.33,135,66,42,18,6,0
1642,xiaonan yan,Women's Strawweight,5.42,115,63,30,11,1,0
1643,petr yan,Bantamweight,5.58,135,67,26,13,1,0
1644,adam yandiev,Middleweight,5.75,185,74,31,9,1,0
1645,dongi yang,Middleweight,5.83,185,71,34,13,3,0
1646,jianping yang,Featherweight,5.58,145,65,30,7,4,1
1647,hu yaozong,Light Heavyweight,6.25,205,72,24,3,2,0
1648,ashley yoder,Women's Strawweight,5.58,115,69,32,7,4,0
1649,sanghoon yoo,Lightweight,6.0,155,74,29,5,1,0
1650,yoshiyuki yoshida,Welterweight,5.92,170,70,45,13,6,0
1651,jason young,Featherweight,5.75,145,73,33,8,7,0
1652,shane young,Featherweight,5.67,145,72,26,13,4,0
1653,besam yousef,Welterweight,5.92,170,71,34,6,2,0
1654,sodiq yusuff,Featherweight,5.75,145,71,26,10,1,0
1655,gilbert yvel,Heavyweight,6.17,225,77,43,36,16,1
1656,luke zachrich,Middleweight,6.17,185,74,37,14,4,0
1657,anton zafir,Welterweight,5.92,170,72,32,7,3,0
1658,aiemann zahabi,Bantamweight,5.67,135,68,31,7,2,0
1659,elizeu zaleski dos santos,Welterweight,5.92,170,73,32,21,6,0
1660,zach zane,Featherweight,5.58,145,69,29,12,7,0
1661,roger zapata,Welterweight,5.92,170,74,33,4,3,0
1662,david zawada,Welterweight,6.0,170,75,29,16,5,0
1663,joao zeferino,Welterweight,5.92,170,73,33,13,6,0
1664,tiequan zhang,Lightweight,5.67,155,70,41,18,4,0
1665,zhang lipeng,Lightweight,5.92,155,71,29,9,9,1
1666,weili zhang,Women's Strawweight,5.33,115,63,30,20,1,0
1667,yao zhikui,Flyweight,5.42,125,64,28,2,5,0
1668,fares ziam,Lightweight,6.08,155,75,22,10,3,0
1669,cat zingano,Women's Featherweight,5.5,145,68,37,10,4,0
1670,allan zuniga,Lightweight,5.58,155,70,27,13,2,0
1671,virgil zwicker,Light Heavyweight,6.17,205,74,37,14,4,1
