Unnamed: 0,Name,Weight Class,Height:,Weight:,Reach:,Age,Wins,Losses,Draws
569,john gunderson,Lightweight,5.75,155,69,40,32,12,2
570,john gunther,Lightweight,5.75,155,72,33,7,2,0
571,jorge gurgel,Lightweight,5.58,155,69,42,14,9,0
572,alexander gustafsson,Light Heavyweight,6.42,205,79,32,18,6,0
573,horacio gutierrez,Lightweight,5.83,145,69,29,3,3,0
574,chris gutierrez,Bantamweight,5.75,135,67,28,14,3,0
575,mike guymon,Welterweight,6.0,170,74,45,12,5,1
576,damir hadzovic,Lightweight,5.75,155,70,33,13,5,0
577,tim hague,Heavyweight,6.33,260,76,36,13,5,0
578,yazan hajeh,Featherweight,5.75,145,73,27,6,1,0
579,uriah hall,Middleweight,6.0,185,79,35,16,9,0
580,ryan hall,Lightweight,5.83,145,70,34,8,1,0
581,dennis hallman,Welterweight,5.75,155,72,43,67,14,2
582,piotr hallmann,Lightweight,5.75,155,71,32,15,5,0
583,seohee ham,Women's Strawweight,5.17,115,62,32,16,8,0
584,matt hamill,Light Heavyweight,6.08,205,76,43,12,5,0
585,anthony hamilton,Heavyweight,6.42,260,76,39,15,9,0
586,cj hamilton,Flyweight,5.58,125,68,33,11,4,0
587,jared hamman,Middleweight,6.25,185,75,37,13,6,0
588,nasrat haqparast,Lightweight,5.83,155,72,24,11,2,0
589,antoni hardonk,Heavyweight,6.33,245,78,43,8,6,0
590,dan hardy,Welterweight,6.0,170,74,37,25,10,0
591,greg hardy,Heavyweight,6.42,265,80,31,5,1,0
592,gerald harris,Middleweight,5.92,185,77,39,19,4,0
593,phil harris,Flyweight,5.33,125,64,36,22,12,0
594,walt harris,Heavyweight,6.42,250,77,36,13,7,0
595,collin hart,Middleweight,6.08,185,76,30,4,2,1
596,dale hartt,Lightweight,5.83,155,69,40,6,3,0
597,clay harvison,Welterweight,6.08,170,74,39,9,3,0
598,hayder hassan,Welterweight,5.83,170,70,37,6,3,0
599,john hathaway,Welterweight,6.08,170,75,32,17,2,0
600,phil hawes,Middleweight,6.08,185,70,30,4,1,0
601,tommy hayden,Featherweight,5.75,145,72,33,8,2,0
602,dustin hazelett,Welterweight,6.08,170,76,33,12,7,0
603,james head,Welterweight,6.08,170,73,35,9,4,0
604,pat healy,Lightweight,6.0,155,74,36,31,19,0
605,david heath,Light Heavyweight,5.92,205,72,43,16,7,0
606,chris heatherly,Welterweight,5.75,155,68,31,9,3,0
607,jake hecht,Welterweight,6.0,170,76,35,11,4,0
608,nick hein,Lightweight,5.5,155,66,35,14,5,0
609,ian heinisch,Middleweight,5.92,185,72,31,13,2,0
610,marcin held,Lightweight,5.75,155,71,27,23,7,0
611,dan henderson,Middleweight,5.92,185,74,49,32,15,0
612,benson henderson,Welterweight,5.75,170,70,35,23,5,0
613,johny hendricks,Middleweight,5.75,185,69,36,18,8,0
614,luis henrique,Light Heavyweight,6.17,243,74,26,10,5,0
615,paulo costa,Middleweight,6.08,185,72,28,13,0,0
616,danny henry,Featherweight,6.0,145,73,31,12,3,0
617,ed herman,Light Heavyweight,6.08,205,77,39,25,14,0
618,dave herman,Heavyweight,6.33,242,76,35,21,6,0
619,jack hermansson,Middleweight,6.08,185,77,31,20,5,0
620,junior hernandez,Bantamweight,5.75,135,69,33,14,6,0
621,alexander hernandez,Lightweight,5.75,155,72,27,11,2,0
622,anthony hernandez,Middleweight,6.0,185,75,26,8,1,0
623,nohelin hernandez,Bantamweight,5.83,135,71,25,10,4,0
624,geane herrera,Flyweight,5.42,125,66,29,9,3,0
625,alvaro herrera,Lightweight,6.0,155,74,29,9,6,0
626,felice herrig,Women's Strawweight,5.33,115,65,35,14,8,0
627,heath herring,Heavyweight,6.33,250,78,41,28,14,0
628,clint hester,Middleweight,6.17,205,77,32,11,6,0
629,jimy hettes,Featherweight,5.75,145,71,32,11,3,0
630,marcus hicks,Lightweight,5.5,155,64,43,9,3,0
631,jay hieron,Welterweight,6.0,170,75,43,23,7,0
632,jason high,Welterweight,5.67,155,71,38,19,5,0
633,corey hill,Lightweight,6.33,155,80,41,4,4,0
634,angela hill,Women's Strawweight,5.25,115,64,34,10,7,0
635,tyler hill,Welterweight,6.25,170,78,28,8,1,0
636,jamahal hill,Light Heavyweight,6.33,205,79,28,5,0,0
637,kailan hill,Middleweight,6.08,185,77,24,4,1,0
638,hatsu hioki,Featherweight,5.92,145,70,36,27,9,2
639,kuniyoshi hironaka,Welterweight,5.83,168,70,43,19,8,0
640,mizuto hirota,Lightweight,5.58,155,67,38,19,10,2
641,kwan ho kwak,Bantamweight,5.42,135,70,30,9,2,0
642,matt hobar,Bantamweight,5.83,135,70,32,9,3,0
643,andrew holbrook,Lightweight,5.92,155,70,33,12,3,0
644,chris holdsworth,Bantamweight,5.92,135,71,32,7,0,0
645,kevin holland,Middleweight,6.25,185,81,26,16,5,0
646,roger hollett,Light Heavyweight,5.92,205,70,41,13,5,0
647,max holloway,Lightweight,5.92,145,69,27,21,4,0
648,holly holm,Women's Featherweight,5.67,135,69,38,12,5,0
649,kurt holobaugh,Featherweight,5.92,155,70,33,17,7,0
650,paddy holohan,Flyweight,5.83,125,69,31,12,2,1
651,scott holtzman,Lightweight,5.75,155,69,36,13,3,0
652,sabah homasi,Welterweight,6.0,170,72,31,11,8,0
653,mark hominick,Featherweight,5.67,145,68,37,20,12,0
654,barb honchak,Women's Flyweight,5.33,125,65,40,10,5,0
655,dan hooker,Lightweight,6.0,155,75,29,20,8,0
656,darrell horcher,Lightweight,5.83,155,70,32,13,4,0
657,yoshinori horie,Featherweight,5.67,145,70,24,8,2,0
658,kyoji horiguchi,Flyweight,5.42,125,66,29,18,2,0
659,jeremy horn,Middleweight,6.08,185,74,44,88,21,5
660,chris horodecki,Lightweight,5.75,155,69,32,18,3,1
661,jeff hougland,Bantamweight,5.58,135,68,41,10,6,0
662,brian houston,Middleweight,6.17,185,78,38,4,2,0
663,john howard,Welterweight,5.58,170,71,36,23,12,0
664,shane howell,Flyweight,5.67,125,69,35,13,9,0
665,carlos huachin,Bantamweight,5.33,135,67,23,10,5,1
666,austin hubbard,Lightweight,5.83,155,71,27,11,3,0
667,roger huerta,Lightweight,5.75,155,70,36,21,5,1
668,matt hughes,Welterweight,5.75,170,73,46,45,9,0
669,jeff hughes,Heavyweight,6.17,250,77,31,10,2,0
670,mark hunt,Heavyweight,5.83,265,72,45,13,14,1
671,adam hunter,Middleweight,6.08,185,73,36,7,1,0
672,al iaquinta,Lightweight,5.83,155,70,32,14,6,1
673,khadis ibragimov,Light Heavyweight,6.25,205,78,24,8,1,0
674,dan ige,Featherweight,5.58,145,71,28,12,2,0
675,zelim imadaev,Welterweight,6.0,170,76,24,8,1,0
676,chris indich,Welterweight,5.83,170,73,32,5,3,0
677,guto inocente,Light Heavyweight,6.25,205,77,33,6,4,0
678,naoki inoue,Flyweight,5.75,125,71,22,11,1,0
679,mizuki inoue,Flyweight,5.25,125,65,25,14,5,0
680,james irvin,Light Heavyweight,6.17,205,75,41,15,9,0
681,teruto ishihara,Bantamweight,5.58,135,69,28,11,7,2
682,damir ismagulov,Lightweight,5.75,155,70,28,19,2,0
683,leandro issa,Bantamweight,5.58,135,69,36,13,6,0
684,blagoy ivanov,Heavyweight,5.92,250,73,33,18,2,0
685,yves jabouin,Bantamweight,5.58,135,68,40,20,11,0
686,rampage jackson,Catch Weight,6.08,205,73,41,36,11,0
687,damon jackson,Featherweight,5.92,145,71,31,9,1,1
688,jason jackson,Welterweight,6.08,170,78,28,7,2,0
689,montel jackson,Bantamweight,5.83,135,75,27,8,1,0
690,dustin jacoby,Middleweight,6.33,185,78,31,6,3,0
691,virna jandiroba,Women's Strawweight,5.25,115,64,31,14,1,0
692,ryan janes,Middleweight,6.25,185,76,38,10,3,0
693,josh janousek,Middleweight,5.92,185,73,39,8,1,0
694,dave jansen,Lightweight,5.75,155,73,40,15,3,0
695,keith jardine,Light Heavyweight,6.17,185,76,43,17,10,2
696,brock jardine,Welterweight,5.92,170,73,34,9,3,0
697,rony jason,Featherweight,5.58,145,70,35,15,7,0
698,joanna jedrzejczyk,Women's Strawweight,5.5,125,65,32,16,3,0
699,aaron jeffery,Middleweight,6.17,185,74,26,6,1,0
700,ryan jensen,Middleweight,6.08,185,76,42,15,8,0
701,chanmi jeon,Women's Strawweight,5.42,115,67,22,5,2,0
702,ryan jimmo,Light Heavyweight,6.08,205,73,37,19,5,0
703,sung bin jo,Featherweight,6.0,145,72,27,9,1,0
704,carls john de tomas,Bantamweight,5.42,125,71,23,8,2,0
705,brett johns,Bantamweight,5.58,135,71,27,15,2,0
706,miles johns,Bantamweight,5.58,135,66,25,10,0,0
707,anthony johnson,Light Heavyweight,6.17,205,78,35,22,6,0
708,damarques johnson,Catch Weight,6.08,170,75,37,18,12,0
709,tony johnson,Light Heavyweight,6.17,205,76,36,7,2,0
710,lavar johnson,Heavyweight,6.33,240,82,42,17,7,0
711,demetrious johnson,Flyweight,5.25,125,66,33,27,3,1
712,michael johnson,Featherweight,5.83,155,73,33,20,14,0
713,kajan johnson,Lightweight,5.92,155,75,35,23,14,1
714,dashon johnson,Featherweight,5.58,145,70,31,9,2,0
715,tim johnson,Heavyweight,6.25,265,77,34,12,4,0
716,jordan johnson,Light Heavyweight,6.17,205,79,30,10,0,0
717,taylor johnson,Middleweight,6.0,185,74,28,5,1,0
718,liana jojua,Women's Bantamweight,5.33,135,62,24,7,3,0
719,daniel jolly,Light Heavyweight,6.08,205,75,35,5,2,0
720,jon jones,Light Heavyweight,6.33,205,84,32,25,1,0
721,justin jones,Middleweight,5.92,185,78,32,9,2,0
722,jamelle jones,Light Heavyweight,6.0,205,75,31,7,5,0
723,jocelyn jones-lybarger,Women's Strawweight,5.58,115,64,34,6,4,0
724,shawn jordan,Heavyweight,6.0,260,75,35,18,7,0
725,ivan jorge,Lightweight,5.75,155,73,38,26,5,0
726,scott jorgensen,Bantamweight,5.42,135,66,37,15,12,0
727,krzysztof jotko,Middleweight,6.08,185,77,30,21,4,0
728,alan jouban,Welterweight,6.0,170,73,37,16,7,0
729,charles jourdain,Lightweight,5.75,155,69,23,9,2,0
730,dustin joynson,Heavyweight,6.5,244,78,34,5,0,0
731,luke jumeau,Welterweight,5.92,170,72,31,13,5,0
732,chan sung jung,Featherweight,5.58,145,72,32,15,5,0
733,da un jung,Light Heavyweight,6.33,205,78,25,12,2,0
734,myles jury,Featherweight,5.83,145,73,30,17,4,0
735,cris cyborg,Women's Featherweight,5.67,145,68,34,21,2,0
736,emily peters kagan,Women's Strawweight,5.25,115,66,38,3,3,0
737,sirwan kakai,Bantamweight,5.42,135,66,30,12,3,0
738,martin kampmann,Welterweight,6.0,170,72,37,20,7,0
739,bharat kandare,Featherweight,5.58,135,72,32,5,3,0
740,masanori kanehara,Bantamweight,5.58,135,67,36,25,13,5
741,denis kang,Middleweight,5.92,185,77,42,34,15,2
742,kyung ho kang,Bantamweight,5.75,135,73,32,16,8,0
743,kai kara-france,Flyweight,5.33,125,69,26,20,7,0
744,alex karalexis,Welterweight,5.67,155,66,42,10,6,0
745,impa kasanganay,Middleweight,5.92,185,75,25,5,0,0
746,nadia kassem,Women's Flyweight,5.42,125,66,23,5,2,0
747,yusuke kasuya,Lightweight,5.58,155,67,29,9,3,2
748,brad katona,Bantamweight,5.5,135,64,27,9,2,0
749,calvin kattar,Featherweight,5.92,145,72,31,20,3,0
750,sarah kaufman,Women's Bantamweight,5.42,135,67,34,17,4,0
751,tatsuya kawajiri,Featherweight,5.58,145,69,41,35,10,2
752,julie kedzie,Women's Bantamweight,5.42,135,64,38,16,13,0
753,chris kelades,Flyweight,5.58,125,68,38,9,3,0
754,brian kelleher,Bantamweight,5.5,135,66,33,19,10,0
755,paul kelly,Lightweight,5.75,155,70,35,12,4,0
756,daniel kelly,Middleweight,6.0,185,70,41,13,4,0
757,tim kennedy,Middleweight,5.92,185,74,40,18,6,0
758,steve kennedy,Welterweight,5.92,170,71,36,22,8,0
759,jeremy kennedy,Lightweight,5.92,145,71,27,11,1,0
760,casey kenney,Bantamweight,5.58,135,68,28,13,1,1
761,will kerr,Lightweight,5.83,155,69,37,9,3,0
762,rustam khabilov,Lightweight,5.67,155,73,32,23,4,0
763,sergey khandozhko,Welterweight,6.08,170,74,27,27,5,1
764,alfred khashakyan,Bantamweight,5.67,135,70,31,8,3,0
765,pannie kianzad,Women's Featherweight,5.58,135,66,27,12,5,0
766,katsunori kikuno,Featherweight,5.67,145,66,37,23,8,2
767,jacob kilburn,Featherweight,5.75,145,71,24,6,1,0
768,dong hyun kim,Welterweight,6.17,170,76,37,22,4,1
769,ji yeon kim,Women's Flyweight,5.58,125,72,30,9,2,2
770,jeremy kimball,Light Heavyweight,6.0,205,72,28,15,8,0
771,rob kimmons,Middleweight,5.83,185,73,38,24,8,0
772,dustin kimura,Bantamweight,5.58,135,71,30,12,3,0
773,mike king,Middleweight,6.25,185,75,36,5,1,0
774,kyle kingsbury,Light Heavyweight,6.33,205,76,37,11,6,0
775,kamuela kirk,Women's Featherweight,5.83,145,75,25,9,2,0
776,justine kish,Women's Flyweight,5.42,125,64,31,6,2,0
777,drakkar klose,Lightweight,5.75,155,70,31,11,1,1
778,jason knight,Featherweight,5.83,145,71,27,20,6,0
779,erik koch,Lightweight,5.83,170,71,31,16,6,0
780,syuri kondo,Women's Strawweight,5.33,115,66,30,6,3,0
781,cheick kongo,Heavyweight,6.33,240,82,44,29,9,2
782,josh koscheck,Welterweight,5.83,170,73,41,19,10,0
783,naoyuki kotani,Lightweight,5.67,155,66,37,33,13,7
784,karolina kowalkiewicz,Women's Strawweight,5.25,115,64,34,13,5,0
785,derrick krantz,Welterweight,5.83,170,72,31,24,12,0
786,james krause,Welterweight,6.17,170,73,33,25,8,0
787,pascal krauss,Welterweight,6.08,170,72,32,11,2,0
788,nikita krylov,Light Heavyweight,6.25,205,77,27,26,7,0
789,michael kuiper,Middleweight,6.0,185,73,30,12,3,0
790,anton kuivanen,Lightweight,5.67,155,72,35,17,6,0
791,aleksei kunchenko,Welterweight,5.67,170,70,35,20,1,0
792,kiichi kunimoto,Welterweight,5.83,170,71,38,18,7,2
793,yana kunitskaya,Women's Bantamweight,5.5,135,68,29,12,4,0
794,leo kuntz,Lightweight,5.83,155,74,36,17,3,1
795,mike kyle,Heavyweight,6.33,205,77,39,19,9,1
796,aspen ladd,Women's Bantamweight,5.5,135,66,24,8,1,0
797,ryan laflare,Welterweight,6.08,170,74,36,14,3,0
798,noad lahat,Featherweight,5.75,145,69,35,9,2,0
799,tina lahdemaki,Women's Strawweight,5.17,115,62,31,5,1,0
800,sean lally,Welterweight,6.0,170,74,28,8,2,0
801,ricardo lamas,Featherweight,5.67,145,71,37,19,8,0
802,jason lambert,Light Heavyweight,6.25,185,75,44,25,12,0
803,austen lane,Heavyweight,6.5,245,80,31,4,1,0
804,lina lansberg,Women's Bantamweight,5.58,135,65,37,10,4,0
805,taylor lapilus,Bantamweight,5.5,135,73,27,11,2,0
806,chad laprise,Welterweight,5.83,170,71,33,14,4,0
807,anthony lapsley,Welterweight,5.75,170,71,39,25,7,0
808,lorenz larkin,Welterweight,5.92,170,72,33,18,5,0
809,jeremy larsen,Featherweight,5.83,145,70,35,8,5,0
810,brock larson,Welterweight,5.92,170,71,42,33,6,0
811,bobby lashley,Heavyweight,6.25,255,78,43,7,1,0
812,ilir latifi,Light Heavyweight,5.83,205,73,36,15,7,0
813,jenel lausa,Flyweight,5.42,125,68,31,7,5,0
814,joe lauzon,Lightweight,5.83,155,71,35,28,16,0
815,muhammed lawal,Light Heavyweight,6.0,205,78,38,9,1,0
816,robbie lawler,Welterweight,5.92,170,74,37,28,14,0
817,tom lawlor,Middleweight,6.0,205,74,36,10,6,0
818,justin lawrence,Featherweight,5.67,145,67,29,5,2,0
819,lance lawrence,Featherweight,6.08,145,74,26,5,1,0
820,valmir lazaro,Lightweight,6.0,155,73,34,13,4,0
821,cung le,Middleweight,5.75,185,69,47,9,3,0
822,thanh le,Featherweight,5.75,145,74,34,6,1,0
823,chris leben,Middleweight,5.92,185,74,39,22,11,0
824,mickael lebout,Lightweight,5.92,155,73,32,14,5,1
825,justin ledet,Light Heavyweight,6.33,205,80,31,9,2,0
826,vaughan lee,Bantamweight,5.5,125,66,37,14,11,1
827,kevin lee,Lightweight,5.75,170,77,27,17,5,0
828,rocky lee,Featherweight,5.75,145,68,32,3,2,0
829,andrea lee,Women's Flyweight,5.5,125,69,30,11,3,0
830,cheyden leialoha,Bantamweight,5.67,135,73,25,6,0,0
831,thales leites,Middleweight,6.08,185,78,38,28,9,0
832,amanda lemos,Women's Bantamweight,5.33,135,65,32,6,1,1
833,giacomo lemos,Heavyweight,6.25,247,75,30,6,0,0
834,jesse lennox,Welterweight,5.75,170,72,37,15,3,0
835,nik lentz,Lightweight,5.67,155,68,35,30,10,2
836,brock lesnar,Heavyweight,6.25,265,81,42,5,3,0
837,valerie letourneau,Women's Strawweight,5.58,115,68,36,8,6,0
838,leah letson,Women's Featherweight,5.58,145,71,27,5,2,0
839,marcus levesseur,Lightweight,5.75,155,70,37,22,7,0
840,derrick lewis,Heavyweight,6.25,260,79,34,21,7,0
841,bevon lewis,Middleweight,6.25,185,79,28,6,2,0
842,jingliang li,Welterweight,6.0,170,71,31,17,5,0
843,chuck liddell,Light Heavyweight,6.17,205,76,49,21,8,0
844,hyun gyu lim,Welterweight,6.25,170,77,34,13,7,1
845,juliana lima,Women's Strawweight,5.42,115,65,37,9,5,0
846,dhiego lima,Welterweight,6.17,170,75,30,17,7,0
847,matt lindland,Middleweight,6.0,185,74,49,22,9,0
848,jake lindsey,Lightweight,5.92,155,71,33,9,3,0
849,john lineker,Bantamweight,5.25,135,67,29,31,9,0
850,ariane lipski,Women's Flyweight,5.25,125,67,25,11,5,0
851,dean lister,Middleweight,6.08,185,75,43,11,7,0
852,abner lloveras,Lightweight,5.92,155,71,37,19,8,1
853,artem lobov,Featherweight,5.75,145,65,33,14,15,1
854,dylan lockard,Featherweight,5.75,145,72,27,6,1,0
855,christian lohsen,Lightweight,6.17,155,77,24,7,1,0
856,david loiseau,Middleweight,6.0,185,76,39,20,10,0
857,hector lombard,Middleweight,5.75,185,71,41,34,10,1
858,michael lombardo,Middleweight,6.0,185,72,29,8,1,0
859,loma lookboonmee,Women's Strawweight,5.08,115,61,23,3,1,0
860,dileno lopes,Bantamweight,5.42,135,65,35,19,3,0
861,matthew lopez,Bantamweight,5.58,135,69,32,10,4,0
862,benito lopez,Bantamweight,5.83,135,73,25,10,1,0
863,brendan loughnane,Lightweight,5.83,145,70,29,16,4,0
864,joe lowry,Lightweight,5.83,155,72,29,8,1,0
865,duane ludwig,Welterweight,5.83,170,70,41,29,14,0
866,dalcha lungiambula,Light Heavyweight,5.67,205,76,32,10,1,0
867,vicente luque,Welterweight,5.92,170,75,27,17,6,1
868,travis lutter,Middleweight,5.92,185,75,46,10,6,0
869,zhenhong lv,Featherweight,5.67,145,67,26,18,6,0
870,chris lytle,Welterweight,5.92,170,68,45,31,18,5
871,dong hyun ma,Lightweight,5.92,155,70,31,16,10,3
872,william patolino,Welterweight,5.92,170,75,28,8,3,0
873,jason macdonald,Middleweight,6.25,185,80,44,26,16,0
874,rob macdonald,Light Heavyweight,6.25,205,78,41,5,4,0
875,rory macdonald,Welterweight,6.0,170,76,30,18,4,0
876,ryan macdonald,Bantamweight,5.92,135,71,26,10,2,0
877,veronica macedo,Women's Flyweight,5.33,125,64,23,6,3,1
878,lyoto machida,Middleweight,6.08,185,74,41,24,8,0
879,reza madadi,Lightweight,5.92,155,72,41,14,6,0
880,don madge,Lightweight,6.0,155,72,28,9,3,1
881,jon madsen,Heavyweight,6.0,240,72,39,7,1,0
882,mark madsen,Lightweight,5.67,155,72,35,9,0,0
883,yoshiro maeda,Featherweight,5.58,139,68,37,28,12,2
884,leonardo mafra,Lightweight,5.83,155,70,30,12,3,0
885,vinny magalhaes,Light Heavyweight,6.25,205,79,35,11,7,0
886,caio magalhaes,Middleweight,6.08,185,73,31,9,3,0
887,bernardo magalhaes,Lightweight,5.75,155,65,38,11,3,0
888,angela magana,Women's Strawweight,5.08,115,65,36,11,9,0
889,neil magny,Welterweight,6.25,170,80,32,21,8,0
890,rashid magomedov,Lightweight,5.75,155,70,34,20,2,0
891,ruslan magomedov,Heavyweight,6.25,242,78,32,14,1,0
892,zabit magomedsharipov,Featherweight,6.08,145,73,28,17,1,0
893,john maguire,Welterweight,5.75,155,69,36,18,6,0
894,demian maia,Welterweight,6.08,170,72,41,27,9,0
895,jennifer maia,Women's Flyweight,5.33,125,64,31,17,5,1
896,levan makashvili,Featherweight,5.67,145,68,30,10,2,1
897,john makdessi,Lightweight,5.67,155,68,34,17,6,0
898,islam makhachev,Lightweight,5.83,155,70,27,18,1,0
899,zach makovsky,Flyweight,5.33,125,64,36,19,8,0
900,fabio maldonado,Light Heavyweight,6.08,205,75,39,22,9,0
901,bea malecki,Women's Bantamweight,5.75,135,74,28,3,0,0
902,nazareno malegarie,Lightweight,5.67,155,70,33,28,5,0
903,jon manley,Welterweight,6.08,170,75,33,7,3,0
904,jimi manuwa,Light Heavyweight,6.08,205,79,39,17,6,0
905,cristiano marcello,Lightweight,5.75,155,72,41,13,6,0
906,marcos mariano,Lightweight,6.08,155,76,33,6,6,0
907,enrique marin,Lightweight,5.83,170,74,33,9,4,0
908,ronny markes,Middleweight,6.08,185,75,31,14,3,0
909,rory markham,Welterweight,6.0,170,71,37,16,6,0
910,randa markos,Women's Strawweight,5.33,115,63,34,9,8,1
911,christina marks,Women's Flyweight,5.58,125,69,33,8,9,0
912,nate marquardt,Middleweight,6.0,185,74,40,38,19,2
913,julian marquez,Middleweight,6.17,185,75,29,7,2,0
914,carmelo marrero,Heavyweight,6.0,205,73,38,14,5,0
915,eliot marshall,Light Heavyweight,6.17,205,77,39,10,4,0
916,jack marshman,Middleweight,6.0,185,73,29,23,9,0
917,terry martin,Middleweight,5.67,185,71,39,22,9,0
918,anthony rocco martin,Welterweight,6.0,170,73,29,16,5,0
919,mallory martin,Women's Strawweight,5.33,115,63,25,4,2,0
920,danny martinez,Bantamweight,5.5,125,67,34,18,7,0
921,henry martinez,Lightweight,5.58,155,68,36,9,3,0
922,jonathan martinez,Bantamweight,5.67,135,70,25,11,2,0
923,adriano martins,Lightweight,5.83,155,72,36,28,9,0
924,lucas martins,Featherweight,6.0,145,72,30,16,3,0
925,bristol marunde,Middleweight,6.08,170,71,37,12,9,0
926,mike massenzio,Middleweight,6.17,185,73,36,13,6,0
927,jameel massouh,Featherweight,5.83,145,72,35,26,9,0
928,tiffany masters,Women's Strawweight,5.25,115,65,25,2,1,0
929,jorge masvidal,Welterweight,5.92,170,74,34,34,13,0
930,tateki matsuda,Flyweight,5.58,125,65,33,10,7,0
931,jake matthews,Welterweight,5.92,170,73,25,15,4,0
932,vladimir matyushenko,Light Heavyweight,6.0,205,74,48,26,7,0
933,jack may,Heavyweight,6.67,255,79,38,7,2,0
934,don'tale mayes,Heavyweight,6.5,260,81,27,7,2,0
935,gray maynard,Lightweight,5.75,155,70,40,14,8,1
936,gina mazany,Women's Bantamweight,5.5,135,68,31,5,3,0
937,sabina mazo,Women's Flyweight,5.58,125,70,22,7,1,0
938,michael mcbride,Lightweight,6.08,155,75,33,8,3,0
939,ian mccall,Flyweight,5.42,125,64,35,13,5,1
940,molly mccann,Women's Flyweight,5.33,125,62,29,10,2,0
941,charles mccarthy,Middleweight,5.83,185,71,39,10,5,0
942,sean mccorkle,Heavyweight,6.58,265,81,43,13,2,0
943,kris mccray,Welterweight,6.0,170,76,38,6,3,0
944,tamdan mccrory,Middleweight,6.33,185,78,32,14,5,0
945,rob mccullough,Lightweight,5.75,155,69,42,19,8,0
946,justin mccully,Heavyweight,6.08,225,73,43,10,5,2
947,bubba mcdaniel,Middleweight,6.25,185,75,36,21,8,0
948,michael mcdonald,Bantamweight,5.75,135,70,28,17,4,0
949,drew mcfedries,Middleweight,6.0,185,72,41,10,6,0
950,court mcgee,Welterweight,5.92,170,75,34,20,9,0
951,conor mcgregor,Welterweight,5.75,155,74,31,21,4,0
952,tim mckenzie,Middleweight,6.0,185,74,37,13,8,0
953,cody mckenzie,Lightweight,6.0,155,72,31,14,4,0
954,terrance mckinney,Featherweight,5.92,145,74,25,7,1,0
955,garreth mclellan,Middleweight,6.08,185,72,37,13,6,0
956,sara mcmann,Women's Bantamweight,5.5,135,66,39,11,5,0
957,james mcsweeney,Light Heavyweight,6.33,230,77,39,6,9,0
958,tim means,Welterweight,6.17,170,75,35,28,11,1
959,yancy medeiros,Welterweight,5.83,155,75,32,15,6,0
960,alton meeks,Heavyweight,6.42,265,75,25,3,1,0
961,gerald meerschaert,Middleweight,6.08,185,77,31,29,12,0
962,jordan mein,Welterweight,6.0,170,73,30,31,12,0
963,brian melancon,Welterweight,5.67,170,72,37,7,3,0
964,gilbert melendez,Lightweight,5.75,145,73,37,22,8,0
965,vanessa melo,Women's Bantamweight,5.42,135,65,31,9,6,0
966,antonio mendes,Light Heavyweight,6.25,205,77,38,17,10,0
967,chad mendes,Featherweight,5.5,145,66,34,18,5,0
968,augusto mendes,Bantamweight,5.5,135,65,36,6,2,0
969,eddie mendez,Middleweight,5.83,185,76,35,7,2,1
970,pietro menga,Flyweight,5.58,125,68,31,13,0,0
971,alonzo menifield,Light Heavyweight,6.0,205,76,32,9,0,0
972,ivan menjivar,Bantamweight,5.5,145,64,37,25,12,0
973,joe merritt,Welterweight,6.0,170,73,35,6,1,0
974,jonathan meunier,Welterweight,6.25,170,75,32,8,1,0
975,yaotzin meza,Bantamweight,5.75,145,74,38,21,11,0
976,david michaud,Lightweight,5.75,155,72,30,8,2,0
977,zachary micklewright,Lightweight,6.0,155,74,43,11,3,0
978,bojan mihajlovic,Light Heavyweight,5.92,205,73,39,10,6,0
979,curtis millender,Welterweight,6.17,170,76,31,17,5,0
980,jason miller,Middleweight,6.08,185,72,38,34,10,0
981,dan miller,Middleweight,6.08,185,74,38,14,8,0
982,jim miller,Lightweight,5.67,155,71,36,31,13,0
983,cole miller,Featherweight,6.08,145,74,35,21,11,0
984,che mills,Welterweight,6.08,170,76,37,15,5,0
985,adam milstead,Light Heavyweight,6.25,205,76,32,8,3,0
986,alberto mina,Welterweight,6.0,170,77,37,13,1,0
987,darrick minner,Featherweight,5.58,145,70,29,22,9,0
988,stipe miocic,Heavyweight,6.33,240,80,37,19,3,0
989,frank mir,Heavyweight,6.25,264,79,40,18,11,0
990,mario miranda,Middleweight,6.25,185,74,40,12,3,0
991,vitor miranda,Middleweight,6.08,185,77,40,13,7,0
992,david mitchell,Welterweight,6.0,170,76,40,12,4,0
993,danny mitchell,Welterweight,6.17,170,74,33,14,6,1
994,matt mitrione,Heavyweight,6.25,265,79,41,9,5,0
995,hiromitsu miura,Welterweight,5.75,170,71,38,9,6,0
996,takeya mizugaki,Bantamweight,5.58,135,68,35,21,11,2
997,roxanne modafferi,Women's Flyweight,5.58,125,69,37,23,17,0
998,bobby moffett,Featherweight,5.83,145,73,29,14,5,0
999,nate mohr,Lightweight,5.75,155,72,36,9,7,0
1000,thiago moises,Lightweight,5.75,155,70,24,12,4,0
1001,ashkan mokhtarian,Flyweight,5.5,125,67,34,13,3,0
1002,suman mokhtarian,Featherweight,5.83,145,67,27,8,1,0
1003,jeff monson,Heavyweight,5.75,247,74,48,43,12,1
1004,darrell montague,Flyweight,5.5,125,67,31,13,5,0
1005,augusto montano,Welterweight,6.08,170,73,34,15,3,0
1006,erick montano,Welterweight,6.0,170,73,33,8,5,0
1007,nicco montano,Women's Flyweight,5.42,135,65,30,5,3,0
1008,steve montgomery,Welterweight,6.33,185,75,28,8,4,0
